,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
A2M,True,True,False,True
ACSL5,False,True,True,True
ACSS3,True,False,True,False
ADAMTS9,True,False,False,False
AIFM1,True,False,True,False
AKR1B1,True,False,True,False
ALOX5AP,False,True,True,True
APAF1,True,False,True,False
APCDD1,True,False,True,False
APOO,True,False,True,False
AQP1,False,True,False,True
ARID5B,False,True,False,False
ATP6AP2,True,False,True,False
ATP6V0D2,True,False,False,False
ATP6V1B2,True,False,True,False
B3GNT2,False,True,False,False
BEX3,True,False,False,False
BIRC7,True,False,False,False
BLM,False,True,True,False
BNIP3,False,True,True,False
BNIP3L,False,True,False,False
C1R,False,True,False,True
CARD8,False,True,True,False
CASP1,False,True,True,True
CASP7,False,True,False,False
CCDC80,False,True,False,False
CCL5,False,True,True,True
CD74,False,True,True,True
CDKN1A,True,False,False,False
CERS2,False,False,True,False
CFLAR,True,True,True,False
CHI3L2,False,True,False,False
CIDEB,False,True,True,False
CSMD2,True,True,True,False
CTGF,True,False,False,False
CTSB,True,False,False,False
CTSS,False,True,True,True
CXCL8,False,True,False,False
CXCL9,False,True,True,True
CYBA,False,True,False,False
DKK1,True,False,False,False
DNAJB9,False,True,False,False
EMILIN3,True,False,False,False
ERO1A,False,True,False,False
ETS1,False,True,True,False
FABP6,False,False,True,False
FAM8A1,False,True,False,False
FLRT3,False,False,True,False
FNIP2,True,False,True,False
FOS,False,True,False,False
FRZB,True,False,False,False
FZD5,True,True,True,False
FZD7,False,False,False,True
FZD8,True,False,False,False
GAPDH,False,True,False,False
GATM,True,False,True,False
GBP1,False,True,False,False
GLRX,False,True,False,False
GLRX3,False,False,True,False
GPNMB,True,False,True,False
GPT2,False,True,False,False
GPX3,False,True,False,False
GSTK1,False,True,False,False
HLA-E,False,False,False,True
HRK,False,False,True,False
IRF1,False,True,True,False
IRF4,False,True,True,True
IRF7,True,True,False,False
ITGA8,False,False,True,False
ITIH5,False,True,False,False
JUNB,False,True,True,False
KREMEN1,False,True,False,False
LAPTM4B,False,True,False,False
LAPTM5,False,True,True,True
LPAR1,True,False,True,False
LRP4,True,False,True,False
LRP6,False,False,True,False
LRRK2,False,True,False,False
MANSC1,True,False,False,False
MAOB,False,True,True,False
MASP1,False,False,True,False
MCL1,False,True,False,True
MX2,False,True,True,False
NMI,False,True,True,False
NRSN1,False,True,False,False
OLFM3,False,False,True,False
PARP10,False,False,True,False
PARP12,False,True,True,False
PCNA,False,True,False,False
PDK1,False,True,False,False
PDK4,False,True,False,False
PEA15,True,False,False,False
PJA1,True,True,True,False
PLSCR1,False,True,False,False
PPP1CA,False,True,False,False
PRDX2,True,False,True,False
PSMB9,False,True,False,True
RCAN1,False,False,True,False
RRAGD,True,False,False,False
SEMA3B,False,False,True,False
SERPING1,False,True,False,False
SGK1,False,True,False,False
SH3BGRL3,False,True,False,False
SLC7A8,False,True,False,False
SMPD1,True,False,False,False
SOD2,False,False,True,False
SOX6,True,False,True,False
SPRY2,True,False,False,False
SRGN,False,False,True,True
TAP1,False,True,True,True
TESPA1,False,True,False,False
TF,True,False,False,False
TFAP2A,True,False,True,False
TLR4,False,False,True,False
TNF,False,True,False,False
TNFRSF14,False,True,True,False
TNFRSF18,False,True,True,False
TNFRSF1A,False,True,False,False
TNFSF10,False,True,True,False
TP53,False,True,False,False
TRAF1,False,True,True,False
TRAF5,False,True,True,False
TRIM21,False,True,False,True
TRPV2,False,True,False,False
TSC22D3,False,False,True,False
TSC22D4,False,True,False,False
TXN,True,False,False,False
TYW3,True,False,True,False
UBE2L6,False,True,False,True
UCP2,True,False,True,False
UNC5D,False,False,True,False
VDAC1,False,True,False,False
VKORC1,False,False,True,False
WNT3,True,False,True,False
WNT5A,False,False,True,False
WNT7B,True,False,True,False
XAF1,False,True,True,True
XBP1,False,True,False,False
XIAP,True,False,True,False
ZNF785,True,False,False,False
